Starting training for 1000 steps...
Step 0127 | Loss: 0.128104 | Recall@32: 1.000 | Sparsity: 0.879 | StepTime: 51.522s
Step 0128 | Loss: 0.128230 | Recall@32: 1.000 | Sparsity: 0.872 | StepTime: 53.167s
Step 0129 | Loss: 0.130177 | Recall@32: 1.000 | Sparsity: 0.847 | StepTime: 73.269s
Step 0130 | Loss: 0.130435 | Recall@32: 1.000 | Sparsity: 0.845 | StepTime: 61.023s
Step 0131 | Loss: 0.131587 | Recall@32: 1.000 | Sparsity: 0.818 | StepTime: 67.179s
Step 0132 | Loss: 0.135441 | Recall@32: 1.000 | Sparsity: 0.756 | StepTime: 69.123s
Step 0133 | Loss: 0.128626 | Recall@32: 1.000 | Sparsity: 0.868 | StepTime: 53.140s
Step 0134 | Loss: 0.134417 | Recall@32: 1.000 | Sparsity: 0.768 | StepTime: 78.675s
Step 0135 | Loss: 0.132538 | Recall@32: 1.000 | Sparsity: 0.802 | StepTime: 75.050s
Step 0136 | Loss: 0.131502 | Recall@32: 1.000 | Sparsity: 0.821 | StepTime: 61.308s
Step 0137 | Loss: 0.131497 | Recall@32: 1.000 | Sparsity: 0.821 | StepTime: 66.407s
Step 0138 | Loss: 0.133882 | Recall@32: 1.000 | Sparsity: 0.778 | StepTime: 64.279s
Step 0139 | Loss: 0.132773 | Recall@32: 1.000 | Sparsity: 0.798 | StepTime: 64.100s
Step 0140 | Loss: 0.134119 | Recall@32: 1.000 | Sparsity: 0.772 | StepTime: 59.071s
Saved checkpoint: checkpoints/c2fab_weights_step_140.pt
Step 0141 | Loss: 0.133392 | Recall@32: 1.000 | Sparsity: 0.787 | StepTime: 47.176s
Step 0142 | Loss: 0.134370 | Recall@32: 1.000 | Sparsity: 0.768 | StepTime: 44.307s
Step 0143 | Loss: 0.130280 | Recall@32: 1.000 | Sparsity: 0.842 | StepTime: 74.843s
Step 0144 | Loss: 0.127732 | Recall@32: 1.000 | Sparsity: 0.880 | StepTime: 57.057s
Step 0145 | Loss: 0.134254 | Recall@32: 1.000 | Sparsity: 0.778 | StepTime: 51.727s
Step 0146 | Loss: 0.128984 | Recall@32: 1.000 | Sparsity: 0.864 | StepTime: 78.884s
Step 0147 | Loss: 0.131399 | Recall@32: 1.000 | Sparsity: 0.822 | StepTime: 46.119s
Step 0148 | Loss: 0.127313 | Recall@32: 1.000 | Sparsity: 0.890 | StepTime: 55.019s
Step 0149 | Loss: 0.132781 | Recall@32: 1.000 | Sparsity: 0.797 | StepTime: 81.968s
Step 0150 | Loss: 0.133937 | Recall@32: 1.000 | Sparsity: 0.776 | StepTime: 70.328s
Step 0151 | Loss: 0.131803 | Recall@32: 1.000 | Sparsity: 0.814 | StepTime: 80.227s
Step 0152 | Loss: 0.133849 | Recall@32: 1.000 | Sparsity: 0.781 | StepTime: 46.866s
Step 0153 | Loss: 0.133215 | Recall@32: 1.000 | Sparsity: 0.789 | StepTime: 47.930s
Step 0154 | Loss: 0.128782 | Recall@32: 1.000 | Sparsity: 0.865 | StepTime: 48.692s
Step 0155 | Loss: 0.131521 | Recall@32: 1.000 | Sparsity: 0.823 | StepTime: 55.991s
Step 0156 | Loss: 0.135130 | Recall@32: 1.000 | Sparsity: 0.756 | StepTime: 50.138s
Step 0157 | Loss: 0.134493 | Recall@32: 1.000 | Sparsity: 0.769 | StepTime: 53.546s
Step 0158 | Loss: 0.133765 | Recall@32: 1.000 | Sparsity: 0.779 | StepTime: 70.455s
Step 0159 | Loss: 0.133235 | Recall@32: 1.000 | Sparsity: 0.784 | StepTime: 59.783s
Step 0160 | Loss: 0.130589 | Recall@32: 1.000 | Sparsity: 0.842 | StepTime: 47.790s
Saved checkpoint: checkpoints/c2fab_weights_step_160.pt
Step 0161 | Loss: 0.134587 | Recall@32: 1.000 | Sparsity: 0.765 | StepTime: 68.689s
Step 0162 | Loss: 0.127862 | Recall@32: 1.000 | Sparsity: 0.879 | StepTime: 55.051s
